order_id,order_date,demand_level,unit_price,quantity,total_order_value,margin_percent,cancellation_reason,ai_cancel_flag,recoverable_flag,intervention_attempted_by_navedas,intervention_success,recovery_rate_flag,revenue_lost_before_ai_only,revenue_prevented_by_navedas,avoidable_revenue_loss_after_navedas,profit_lost_before_ai_only,profit_lost_after_navedas,margin_saved_after_navedas,intervention_cost,net_profit_impact_due_to_navedas,intervention_failure_reason,customer_state,payment_auth_status,shopify_id,governance_tier,refund_type,month
ORD-800000,2025-01-17,Medium,1218.0,1.0,1218.0,0.3755393192349633,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,MA,Authorized,#800000,None,N/A,2025-01
ORD-800001,2025-05-20,Low,802.0,1.0,802.0,0.45633840163924483,Vendor Split Possible,1,0,0,0,0,802.0,0.0,0.0,365.98339811467434,365.98339811467434,0.0,0.0,0.0,Not Recoverable,PA,Pending,#800001,None,N/A,2025-05
ORD-800002,2025-04-28,Low,1845.0,3.0,5535.0,0.2658788801637165,Stock Sync Delay,1,1,1,1,1,5535.0,5535.0,0.0,1471.6396017061709,0.0,1471.6396017061709,25.0,1446.6396017061709,None,WI,Pending,#800002,Human,Partial,2025-04
ORD-800003,2025-03-20,Medium,2337.0,3.0,7011.0,0.3553267007177666,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,WA,Authorized,#800003,None,N/A,2025-03
ORD-800004,2025-03-19,Medium,951.0,4.0,3804.0,0.3863855452147267,Payment Expired,1,1,1,1,1,3804.0,3804.0,0.0,1469.8106139968204,0.0,1469.8106139968204,25.0,1444.8106139968204,None,TN,Expired,#800004,Human,Partial,2025-03
ORD-800005,2025-06-04,Low,2695.0,4.0,10780.0,0.4574478801857313,AI Logic Gap - SKU Mapping,1,1,1,1,1,10780.0,10780.0,0.0,4931.288148402184,0.0,4931.288148402184,25.0,4906.288148402184,None,OH,Pending,#800005,Human,Partial,2025-06
ORD-800006,2025-01-16,Low,2254.0,2.0,4508.0,0.5375587987775876,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,AZ,Authorized,#800006,None,N/A,2025-01
ORD-800007,2025-05-06,Medium,624.0,4.0,2496.0,0.49689644180150205,Payment Expired,1,1,1,0,0,2496.0,0.0,2496.0,1240.253518736549,1240.253518736549,0.0,25.0,-25.0,Late Detection,AZ,Expired,#800007,Human,Partial,2025-05
ORD-800008,2025-02-06,High,3288.0,3.0,9864.0,0.4175314470804826,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,VA,Authorized,#800008,None,N/A,2025-02
ORD-800009,2025-01-17,High,201.0,2.0,402.0,0.4042742361921833,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,VA,Authorized,#800009,None,N/A,2025-01
ORD-800010,2025-04-05,Medium,2305.0,4.0,9220.0,0.4111153425754348,Stock Sync Delay,1,0,0,0,0,9220.0,0.0,0.0,3790.4834585455087,3790.4834585455087,0.0,0.0,0.0,Not Recoverable,MA,Pending,#800010,None,N/A,2025-04
ORD-800011,2025-06-25,Low,1566.0,1.0,1566.0,0.3908125249309209,Vendor Split Possible,1,1,1,0,0,1566.0,0.0,1566.0,612.0124140418221,612.0124140418221,0.0,15.0,-15.0,Late Detection,WI,Pending,#800011,Auto,Split Fulfillment,2025-06
ORD-800012,2025-05-13,High,2305.0,3.0,6915.0,0.22077700809062326,AI Logic Gap - SKU Mapping,1,1,1,1,1,6915.0,6915.0,0.0,1526.6730109466598,0.0,1526.6730109466598,25.0,1501.6730109466598,None,MO,Pending,#800012,Human,Partial,2025-05
ORD-800013,2025-05-18,Low,2720.0,4.0,10880.0,0.4444037381058718,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,OH,Authorized,#800013,None,N/A,2025-05
